,,,,,
,,,,,
7/11/20 16:22, TheAaryanKartik where will you travel first once this gets over , BhutanTripAdv , ,5908,Thimphu 
7/8/20 18:24, I just installed Windscribe VPN and it s awesome Check it out it s free tweet4data https t co pLQ2xjzvNQ https t co aeR2NHCpBv , Rinchen T , VPN tweet4data ,6,Thimphu 
7/8/20 17:00, God is Great When everyone in the World are going through Dark Times but God gives us Light to SEE MORE Thank you xf0 x9f x99 x8f Achu amp Ashi We share this light with all beings so your lives can also be brighter BMT xe2 x80 xa6 https t co l087dX5l7A , bhutan majestic , ,1130,Thimphu 
7/8/20 16:06, Kenchoo7 me too xf0 x9f x98 xb4 , ha na 08 , ,759,Thimphu 
7/8/20 16:02, changia b I don xe2 x80 x99t know but for me i am ok without rain xf0 x9f x98 x85 xf0 x9f x98 x85 , ha na 08 , ,759,Thimphu 
7/8/20 16:01, jins94475391 aww never xf0 x9f x98 x82 , ha na 08 , ,759,Thimphu 
7/8/20 15:33, An elderly woman in a conversation with her sister on the phone says xe2 x80 x9c well at least your children visit you often mine don xe2 x80 x99t xe2 x80 x9d like a scene in an Ozu film xf0 x9f x99 x82 , brooksound , ,46,Thimphu 
7/8/20 14:49, that chilip sidhant Of course nothing moves without motive in international diplomacy , TenzingLamsang , ,23656,Thimphu 
7/8/20 14:42, So Airborne it is Science lack way behind self conscience and awareness I already thought long before it was declared pandemic that the COVID19 is an airborne disease But the science was doing research , ChhedupSangay , COVID19 ,1081,Thimphu 
7/8/20 14:33, Video courtesy sidhant xf0 x9f x99 x8f To my earlier thread on how small countries should not be underestimated when big power rivalry is at its peak https t co PqN9B1DtZo , TenzingLamsang , ,23656,Thimphu 
7/8/20 14:30, US Secy of State says CCP filed a boundary dispute new with Bhutan at GEF He says from mountain ranges of Himalayas to waters of Vietnam to Senkaku Islands Beijing has a pattern of instigating territorial disputes He says world should not allow this bullying to take place https t co 4O5UX7NnS0 , TenzingLamsang , ,23656,Thimphu 
7/8/20 14:30, Be careful stay safe https t co oJ9mPuPghY , ChhedupSangay , ,1081,Thimphu 
7/8/20 10:42, aratlimbu Miss you too Think time you are in Aussieland and TD is here Haha , namgayzam , ,22831,Thimphu 
7/8/20 10:42, aratlimbu Haha yes I think more than enough experience to last me a lifetime , namgayzam , ,22831,Thimphu 
7/8/20 10:02, aratlimbu I xe2 x80 x99m not surprised at all by this Things don xe2 x80 x99t change Tara Shoot the loudest messenger first though Haha , namgayzam , ,22831,Thimphu 
7/8/20 9:40, Excited to share the latest addition to our etsy shop This herbal tea set by Bhutan Organics with 4 blends of tea is the perfect giftset for herbaldrinks enthusiasts https t co VoNzLllS8u https t co 6pqbZ6fzYG , tasteofbhutan , etsy giftset herbaldrinks ,1,Thimphu 
7/8/20 8:25, call meh brookx Nub give me mine , uchiha soma , ,65,Thimphu 
7/8/20 8:17, Postgraduate Entrance Examination Result conducted on 7th July xc2 xa02020 https t co BTjyaaThDw , umsb123 , ,52,Thimphu 
7/8/20 8:16, good afternoon miss khan how are you its raining here in Karachi https t co KwKGOUsniI https t co vdFCTDmLz5 , SyedSaa1 , ,1572,Thimphu 
7/8/20 8:15, OfficialZakRB unofficiaIzakrb Jesus Christ pray , uchiha soma , ,65,Thimphu 
7/8/20 8:11, there is no true happiness without money Susi https t co X4C6WDf3MC , SyedSaa1 , ,1572,Thimphu 
7/8/20 7:49, BoyWonderFC VintageArsanal Even as a Man Utd fan I agree 100 with you it was intentional , thinley707 , ,41,Thimphu 
7/8/20 7:17, I have a deep and abiding love for my country Not for institutions Institutions need to be checked time and again This is why we were given the gift of democracy xf0 x9f x87 xa7 xf0 x9f x87 xb9 , namgayzam , ,22831,Thimphu 
7/8/20 7:01, Although you long to break away from an ongoing routine it xe2 x80 x99s More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/8/20 7:01, Trying to lean on a friend may not bring the positive support More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/8/20 7:00, A clash of values may put significant strain on a close relati More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/8/20 6:58, namgayzam point to be noted in this article why only the caretaker wife s name is mentioned and why not the drangpoen s wife name Bhutan has two laws one for poor and one for rich And we call ourselves a country of equality xf0 x9f xa4 xa3 Concept of GNH is only for tourist attraction , DeependraKoira5 , ,19,Thimphu 
7/8/20 6:54, A good start to gameweek xf0 x9f xa4 xa8 xe2 x98 xba xef xb8 x8f xf0 x9f x98 xb4 xf0 x9f xa5 xba https t co CRVa8MIwYY , DeependraKoira5 , ,19,Thimphu 
7/8/20 6:53, MinichuUwU Pretty xf0 x9f x98 x8d , uchiha soma , ,65,Thimphu 
7/8/20 6:52, namgayzam Bhutanese democracy is just for namesake Bhutan is beautiful only to outside world It s a heaven on earth for tourist as true colours are blinded from them If you want to know the true colours of Bhutan follow closely and spend some days on Bhutan , DeependraKoira5 , ,19,Thimphu 
7/8/20 6:47, You have an image problem amp you want to rise smoothly to the top but many major powers are aligning against you for a host of reasons The last thing you should do is pick on the smallest amp most peaceful neighbor in the neighborhood amp claim a chunk of its land with no basis , TenzingLamsang , ,23656,Thimphu 
7/8/20 6:21, azakhan23 good morning miss Tea is ready https t co ZbVWKgOsp8 , SyedSaa1 , ,1572,Thimphu 
7/8/20 6:17, BBS Radio Article 10 Parliament Section 20 to Section 25 https t co CjfOfgkNVp , BBSBhutan , ,51164,Thimphu 
7/8/20 6:03, shmueli Democracy , namgayzam , ,22831,Thimphu 
7/8/20 5:30, AnannyaB1 Laughing at how they called me xe2 x80 x9cinfluencer xe2 x80 x9d and not journalist , namgayzam , ,22831,Thimphu 
7/8/20 5:17, Kuensel covers India xe2 x80 x99s policy response to stimulate the economy during COVID19 times Do read PMOIndia DrSJaishankar MEAIndia IndianDiplomacy PIB India PBNS India DDNewslive PTI News BBSBhutan KuenselOnline MoHFW INDIA FinMinIndia https t co doArDwb9dn , Indiainbhutan , COVID19 ,10296,Thimphu 
7/8/20 5:12, Prayers in the wind on the top the world PrayerFlags Chelela ChelelaPass Paro HaaValley Chele La Pass 12000Ft https t co 2Aam0T6JJy , LovenRamos , PrayerFlags Chelela ChelelaPass Paro HaaValley ,2127,Bhutan 
7/8/20 5:05, fate , TenzingLamsang , ,23656,Thimphu 
7/8/20 4:34, amish973 ConstantinoX ChawlaSwati DeepPal AnandMonk ORF Kolkata AusHimalaya ShubhangaP sujeevshakya As far as Bhutan is concerned the view towards India is largely positive though certain tricky issues do come up once in a while Important for India to keep up with an evolving relationship and generation , TenzingLamsang , ,23656,Thimphu 
7/8/20 3:41, PandaGurlGamer Cool , uchiha soma , ,65,Thimphu 
7/8/20 3:29, Lol Plushy TvT PandaGurlGamer Good luck xf0 x9f x98 x84 xe2 x9d xa4 xef xb8 x8f , uchiha soma , ,65,Thimphu 
7/8/20 3:28, More the newsmaker than the newsbreaker these days https t co Xlx0xrOz4P , namgayzam , ,22831,Thimphu 
7/8/20 3:27, PandaGurlGamer Good luck xf0 x9f x98 x84 , uchiha soma , ,65,Thimphu 
7/8/20 3:23, Understanding media messages https t co OEFUxzs1tO , Sanrangi , ,60,Thimphu 
7/8/20 3:22, The Technical Team from the DoFPS interacted with the Technical Assessment Team from the UNFCCC on the Bhutan xe2 x80 x99s proposed Forest Reference Emission Level amp Forest Reference Level from 22nd June to 26th June and additional day on 2nd July https t co gL4MpUjyoQ https t co k72APgz4FV , moafbhutan , ,455,Thimphu 
7/8/20 3:22, Learning the language of persuasion https t co sPoRPPKqGX , BhutanMediaFdn , ,839,Thimphu 
7/8/20 3:20, Karma Tshering joins the Ministry xe2 x80 x99s Policy and Planning Division PPD as the new Chief today Prior to the appointment the Chief served as the Head of the Policy and Programming Services under the National Environment Commission from 1999 till date https t co 48k9fZTyaX https t co UmRalQZgMD , moafbhutan , ,455,Thimphu 
7/8/20 2:55, HUFFPOST posts article from whiny Karen who thinks we should force college grads to become nannys because she can t handle raising her kids without an au pair Btw her au pair is stuck here karen WhitePrivilege slavery freetheaupair https t co hrZV71Ig2w via HuffPost , Bu773rf1y8 , karen WhitePrivilege slavery freetheaupair ,1,Thimphu 
7/8/20 2:51, iix Ally Nuuu Don t call me a bish , uchiha soma , ,65,Thimphu 
7/7/20 19:51, well done Israel https t co cB2fT0yDDk , SyedSaa1 , ,1572,Thimphu 
7/7/20 19:14, The 17th episode of David Hoffman xe2 x80 x99s David xe2 x80 x99s Been Here in Bhutan sees him accomplish the renowned Tiger xe2 x80 x99s Nest Monastery Hike in Paro and showcases Bhutanese food at its best Stay tuned for more mouthwatering episodes https t co sNHybUh1xw , MyBhutan , ,944,Thimphu 
7/7/20 19:10, blood red https t co UbYH1CGV7b , SyedSaa1 , ,1572,Thimphu 
7/7/20 18:39, iix Ally Friend lol , uchiha soma , ,65,Thimphu 
7/7/20 17:43, billburrrito chat to me chiefff https t co sQa1hwhjRl , Crocodilovic , ,50,Thimphu 
7/7/20 17:17, cats4life004 Good luck U U , uchiha soma , ,65,Thimphu 
7/7/20 16:40, 4 4 So in major global conflicts while small countries do not matter in terms of influence or power their faith is often the last straw that breaks the camel xe2 x80 x99s back of big power rivalry As the saying goes xe2 x80 x98those who fail to learn from history are condemned to repeat it xe2 x80 x99 , TenzingLamsang , ,23656,Thimphu 
7/7/20 16:39, 3 4 2nd WW 1939 45 saw a Germany humiliated after 1st WW rising to take its place amp more After getting anchluss of Austria amp break up of Czechoslovakia it tried its luck in invading Poland amp saw Britain amp France declare war on it In both wars a reluctant USA joined in later , TenzingLamsang , ,23656,Thimphu 
7/7/20 16:38, 2 4 1st World War 1914 18 was caused by big power rivalry but the match was lit when Austria Hungary wanted to teach a lesson to the Serbs after the assassination of the Arch Duke AH got Prussian backing while the Serbs got Russian backing and other powers picked camps , TenzingLamsang , ,23656,Thimphu 
7/7/20 16:38, 1 4 As a student of history I have no illusions that quite often small countries are only seen as chess pieces on the board of big power rivalry However sometimes when big power rivalry hits a ceiling then these very chess pieces can become the reason for a big conflagration , TenzingLamsang , ,23656,Thimphu 
7/7/20 16:23, Waiting for the other one now https t co kBDKEml0nE , namgayzam , ,22831,Thimphu 
7/7/20 15:49, caricatured xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 Beautiful xf0 x9f x91 x8c , vikrantparate , ,23,Thimphu 
7/7/20 15:24, Met with H E AKM Shahidul Karim Ambassador of Bangladesh to Bhutan today We had good discussion on ways to further strengthen the strong bilateral relations between the two countries https t co 3zgBV5mRM3 , FMBhutan , ,3435,Thimphu 
7/7/20 14:42, China xe2 x80 x99s greed is despicable As is China clutching at straws , namgayzam , ,22831,Thimphu 
7/7/20 14:12, iix Ally Nu for me your pretty xf0 x9f x98 x8d , uchiha soma , ,65,Thimphu 
7/7/20 14:00, pasreech 26 060 tests for around 700 000 people More will be done , TenzingLamsang , ,23656,Thimphu 
7/7/20 13:51, Meanwhile in Bhutan His Majesty tours the country with the PM to strengthen COVID 19 measures Bhutan has no community transmission and only 80 imported cases of which 54 have recovered and 20 more tested negative leaving only 6 active cases Highest testing rate in region xf0 x9f x87 xa7 xf0 x9f x87 xb9 https t co FFarSiCzdV , TenzingLamsang , ,23656,Thimphu 
7/7/20 13:21, His Majesty The King is on a Royal Tour of the central eastern and southern parts of Bhutan to inspect the impact and works related to COVID 19 The Prime Minister and the National Council Chairperson are accompanying His Majesty https t co Ttr2zvowxT , business bhutan , ,10466,Thimphu 
7/7/20 12:05, Driving class in this weather xf0 x9f x98 xa5 I just hate rain rain rain go away xf0 x9f xa4 x95 Monsoon2020 rain driving work https t co Fhjlssa4Ba , ha na 08 , Monsoon2020 rain driving work ,759,Thimphu 
7/7/20 12:02, changia b Didnt had time to relax also xf0 x9f x98 xa2 Will relax after sleep today xf0 x9f x98 x85 , ha na 08 , ,759,Thimphu 
7/7/20 11:58, iix Ally Wow pretty xf0 x9f x98 x8d , uchiha soma , ,65,Thimphu 
7/7/20 11:41, my Zodiac sigh is Leo by the grace of God I ve earn lot of money now I m spending very satisfy life not greedy for more money https t co tiKXEnFfmM https t co kRpiJnkZFU , SyedSaa1 , ,1572,Thimphu 
7/7/20 11:23, BBS Radio Article 10 Parliament Section 13 to Section 19 https t co IKaBTHC5aR , BBSBhutan , ,51164,Thimphu 
7/7/20 11:18, Between being happy and trying to be happy xe2 x9c x8c https t co hM2cgfBrwL , BidhaChencho , ,98,Paro 
7/7/20 11:12, call meh brookx Pretty lol , uchiha soma , ,65,Thimphu 
7/7/20 10:05, call meh brookx I m listening xf0 x9f x91 x80 , uchiha soma , ,65,Thimphu 
7/7/20 7:54, IamKingClown deeprajchhetri Thank you , Kash33513885 , ,10,Thimphu 
7/7/20 7:53, deeprajchhetri Thank you son , Kash33513885 , ,10,Thimphu 
7/7/20 7:32, can you answer me https t co 8y30dadKcc https t co SZSDymRpbt , SyedSaa1 , ,1572,Thimphu 
7/7/20 7:19, According to business bhutan The Bhutanese man who entered illegally from Nepal has been apprehended and will be charged with breach of public order amp tranquility criminal nuisance and reporting of false information after completion of the quarantine period , namgayzam , ,22831,Thimphu 
7/7/20 7:12, A man returning from Nepal entered Phuentsholing illegally on July 2 amp reached Thimphu He has been apprehended and will be charged to the court for breach of public order amp tranquility criminal nuisance and reporting of false information after completion of the quarantine period https t co HrDXd31BKY , business bhutan , ,10466,Thimphu 
7/7/20 7:06, SingyelP Aggregate fruit Berries are simple fruits forming from a flower with a single ovary , namgayzam , ,22831,Thimphu 
7/7/20 7:01, An added measure of patience and focus is needed when you re a More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/7/20 7:01, Rebellious behavior could get you in trouble with authority fi More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/7/20 7:00, Don t undermine your talents by giving them away for free If More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/7/20 5:58, 1977 Chinese map showing Sakteng well within Bhutan while claiming entire Arunachal Pradesh This is in addition to many other such maps including recent ones Yet to hear of any country in the world disputing its own official maps issued for decades Map courtesy pchilimzam https t co aj2NgnBesp , TenzingLamsang , ,23656,Thimphu 
7/7/20 5:57, If ever fish is ask to climb a tree , ngawanglorelzep , ,10,Thimphu 
7/7/20 5:53, WTH448 You are the one , ngawanglorelzep , ,10,Thimphu 
7/7/20 5:21, Press Release Conversation between Special Representatives of India and China on recent developments on the India China border areas Read More at https t co DrXl0MDa76 , Indiainbhutan , ,10296,Thimphu 
7/7/20 5:20, Financial Literacy begins with xe2 x80 x93 The Power of a Vision to Transform Your Life and Your Finances https t co ZlnpXbtRi5 via Fiscal Literacy , TingKarr8 , ,28,Thimphu 
7/7/20 5:04, Interesting session https t co LIUMmiAEKN , pgyamtsho , ,517,Thimphu 
7/7/20 4:30, Made Kkakdugi radish kimchi Not necessarily by choice Mom had an abundance of radish harvest and she had already minced them into small slices hence the the typical cube sizes She calls me xe2 x80 x9cmake this xe2 x80 xa6 https t co KDJoDY9IT3 , manoazam , ,93,Thimphu 
7/7/20 3:03, Some people should be avoided Do not be misled Bad company corrupts good character 1 Corinthians 15 33 , GenuineShadow , ,377,Thimphu 
7/7/20 2:02, FlirtyCanuck Good morning dear https t co MKYSH2MGkF , SyedSaa1 , ,1572,Thimphu 
7/7/20 1:54, AchuKhegpa No doubt about that xf0 x9f x98 x85 , zzezenn , ,1923,Thimphu 
7/6/20 21:47, Thank you aangelineelaw for Seresto from all Three of us Magic is happening BMT Happiness House https t co zKK4cFHMFS , bhutan majestic , ,1130,Thimphu 
7/6/20 19:36, Good news Tourist entry points in Gelephu amp Samdrupjongkhar approved BBS https t co 30tOIfR8qK https t co Qp4ppsoY60 , DrukExperience , ,110,Thimphu 
7/6/20 17:58, IndianMourinho what tweets , Crocodilovic , ,50,Thimphu 
7/6/20 17:49, Just https t co lxEoEBQSsZ , zzezenn , ,1923,Thimphu 
7/6/20 17:42, good night dear beauty https t co AE8BkpE2NK https t co f7lJq1659I , SyedSaa1 , ,1572,Thimphu 
7/6/20 16:34, sonamtweetsx xf0 x9f x98 x83 being single is great for peace of mind xf0 x9f x98 x82 , ha na 08 , ,759,Thimphu 
7/6/20 15:37, azakhan23 good evening Lioness Sana https t co KQQQfUiGA8 , SyedSaa1 , ,1572,Thimphu 
7/6/20 15:02, deeprajchhetri I agree prevention is better than cure , Kash33513885 , ,10,Thimphu 
7/6/20 14:44, UfC251Abudabi Eagerly waiting 1 or 2 https t co ZCbFr5JoGf , TenzinChoda4 , ,0,Thimphu 
7/6/20 14:32, More than any flowery words or assurances how a large and powerful country treats a small neighbor is often the most accurate bell weather of its real foreign policy If it is a major power then the same is in store for the rest History has proven this over and over again , TenzingLamsang , ,23656,Thimphu 
7/6/20 13:49, BBSBhutan Night bars and clubs closed Routine patrolling by Desups , Tobgay3 , ,108,Thimphu 
7/6/20 12:58, realsshrestha Haha Tell me about it , namgayzam , ,22831,Thimphu 
7/6/20 12:12, Strawberries amp raspberries are not berries Bananas are xf0 x9f xa4 xaf , namgayzam , ,22831,Thimphu 
7/6/20 11:43, Mingmabh It is xf0 x9f x99 x82 , zzezenn , ,1923,Thimphu 
7/6/20 11:24, Mingmabh Yes it is xf0 x9f x99 x82 , zzezenn , ,1923,Thimphu 
7/6/20 9:48, Message from Hon xe2 x80 x99ble Sanam Lyonpo on the International Day of Cooperatives https t co mHeViYjLZ3 https t co Q4Zc3ruZUt , moafbhutan , ,455,Thimphu 
7/6/20 9:37, Tashiy92 just confused xf0 x9f x99 x84 , ha na 08 , ,759,Thimphu 
7/6/20 9:36, TashiGy still confused , ha na 08 , ,759,Thimphu 
7/6/20 9:12, Comprehensive annual budget report Quite skeptical in off shore investment through single window https t co 5Fs4KLdgch , Tobgay3 , ,108,Thimphu 
7/6/20 8:58, Phuuuuubz19 My neighbour , namgayzam , ,22831,Thimphu 
7/6/20 8:48, July 6 1935 It s the 85th Birth Anniversary of HH Dalai Lama If we fail to define Buddhism see Buddhism amp feel Buddhism just see and understand the life of HH Dalai Lama On this special day of HH s Birth Anniversary I offer my pray for good health amp long life DalaiLama , ChhedupSangay , ,1081,Thimphu 
7/6/20 7:47, good morning Alice always stay bless https t co yph7PoEKus https t co L4XADcXuIt , SyedSaa1 , ,1572,Thimphu 
7/6/20 7:39, Great thread on how all Chinese maps of China including its 1962 war map show Sakteng as being well within Bhutan Rightly noted that only map making a claim has errors and cites a fuzzy xe2 x80 x98agreement xe2 x80 x99 in 1715 As far as Bhutanese history and sources go no such agreement exists https t co vltnip1kEb , TenzingLamsang , ,23656,Thimphu 
7/6/20 7:17, Stolen from Chinese apps https t co QBJuKuXDuH , nidhi bhattarai , ,3,Thimphu 
7/6/20 7:13, I xe2 x80 x99m having a hard time trusting WHO This makes it even harder xf0 x9f x98 x9e https t co OtGWZekF09 , namgayzam , ,22831,Thimphu 
7/6/20 7:13, TimesNow RahulGandhi A failure person talks very often negativity issues , nidhi bhattarai , ,3,Thimphu 
7/6/20 7:02, Taking an original approach to a work project could pay off ha More for Virgo https t co ytH6jMhay1 , czdorji , ,2311,Thimphu 
7/6/20 7:01, Learning about an unusual subject today will be both intriguin More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/6/20 7:01, Your reputation as a humanitarian could attract blessings your More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/6/20 7:00, It xe2 x80 x99s always been easy for you to tune into other people xe2 x80 x99s mood More for Pisces https t co uojyhA9mo8 , LobzangYeshey1 , ,314,Thimphu 
7/6/20 6:51, dipN3PAL That is also true But thinking back to the party crazy Florida folks who didn xe2 x80 x99t stop partying even for Covid 19 xf0 x9f xa4 x97 , namgayzam , ,22831,Thimphu 
7/6/20 6:42, The first comment below Lol I live for the comments https t co 5TBQOjj8WB https t co MYcJMzzJbS , namgayzam , ,22831,Thimphu 
7/6/20 6:13, sowfflll RaspaPLUSdevi I think RaspaPLUSdevi is a woman xf0 x9f xa4 xa3 meaning a Devi not a hermit xf0 x9f xa4 xad , DziJ , ,1688,Thimphu 
7/6/20 4:55, Favorite , Phuuuuubz19 , ,180,Thimphu 
7/6/20 4:49, Presenting my favor Biker in Thimphu xe2 x9d xa3 xef xb8 x8f thimphu biker bhutan https t co QS729YuwqM , Phuuuuubz19 , thimphu biker bhutan ,180,Thimphu 
7/6/20 4:29, Health Ministry says the Bhutanese man who entered illegally from Nepal has tested negative as have his 3 close contacts They are all in quarantine and will bear the cost of quarantine Thank goodness for small mercies I hope they are penalised for their recklessness , namgayzam , ,22831,Thimphu 
7/6/20 4:22, BBS Radio Article 10 Parliament Section 1 to Section 12 https t co lLOY7CMlxZ , BBSBhutan , ,51164,Thimphu 
7/6/20 2:50, good morning dear Joan have a nice day https t co yS0Ga1hBhW https t co vkZDU8QQjt , SyedSaa1 , ,1572,Thimphu 
7/6/20 2:45, give me a https t co 2iIMeqHBYF vl feel the difference dear Iqra Good morning https t co KSBpuaA6Vr https t co fc3gizExXg , SyedSaa1 , ,1572,Thimphu 
7/6/20 2:42, Virtualphoja1 shmueli DrukSchool Physicallg distanced learning at Druk School https t co xyHcCe7QT0 , namgayzam , ,22831,Thimphu 
7/6/20 2:35, claytian8 Wew Time going fast D , uchiha soma , ,65,Thimphu 
7/6/20 2:35, VastGG Graphics card , uchiha soma , ,65,Thimphu 
7/5/20 19:40, EjazGujjar55 Macaws are the best xe2 x9d xa4 xef xb8 x8f , bhutannorter , ,541,Thimphu 
7/5/20 18:31, In episode 16 of David Hoffman s David s Been Here in Bhutan https t co D8DNTvzEBD David explores the spectacular valley of Haa and showcases Bhutanese food at its best Stay tuned for more , MyBhutan , ,944,Thimphu 
7/5/20 17:40, ParveenKaswan English , namgayzam , ,22831,Thimphu 
7/5/20 17:31, RashMarGreen a threat to every team I have been ManUtd fan since I was 6 and will be till I die https t co QgucAp5YVE , KinzangDendup1 , RashMarGreen ,217,Thimphu 
7/5/20 17:28, Be Ready When The Mountain Calls https t co MgcjnrGTZb , bhutan majestic , ,1130,Thimphu 
7/5/20 17:23, Well nothing makes sense anymore https t co QRdgNQ1mVg , jimjatz , ,28,Thimphu 
7/5/20 17:21, Curtis Jones So much of future for LFC lfc premierleaguechampions livast ywna , ChhedupSangay , lfc premierleaguechampions livast ywna ,1081,Thimphu 
7/5/20 17:07, A moment with the Prime Minister exactly a year back Throwback LeadershipMatters doctors https t co mZXf5COgnN , jimjatz , Throwback LeadershipMatters doctors ,28,Thimphu 
7/5/20 16:08, And as you mention mrajivranjan the map you show is not from any official source Well China xe2 x80 x99s own official maximalist Map shows that eastern area as part of Bhutan which is also the fact Eastern sector never brought up by China in 24 comprehensive border talks , TenzingLamsang , ,23656,Thimphu 
7/5/20 16:04, This 2014 Map of China showing totality of its claims also published in washingtonpost sent alarm bells ringing as China laid direct claim to South China Sea amp all places Observe that so called xe2 x80 x98disputed area xe2 x80 x99 with Bhutan in east in this maximalist PRC map falls inside Bhutan https t co OtKvW2xcav https t co mSbGfzKTSE , TenzingLamsang , ,23656,Thimphu 
7/5/20 15:29, ConstantinoX ananthkrishnan mrajivranjan theChinaDude Narrowing down in the context of west and north The disputed areas there earlier were bigger in area , TenzingLamsang , ,23656,Thimphu 
7/5/20 15:22, MrSamratX DilliDurAst There you go , TenzingLamsang , ,23656,Thimphu 
7/5/20 15:15, xe2 x80 x9cThat sort of communal sense has permeated throughout the villages xe2 x80 x9d Interesting project https t co s9Pke5CrrB , bhutannorter , ,541,Thimphu 
7/5/20 15:06, rightIess Hi homie xf0 x9f x91 x8b , uchiha soma , ,65,Thimphu 
7/5/20 14:53, Accompanied by Lyonpo Namgay Tshering visited and had interactive meetings with Karma Feeds Saint Gobain and Silicon factory at Pasakha this morning Also stopped by Aly check post Pleased to see usual work at industries are going well https t co bQMMdPfGKW , FMBhutan , ,3435,Thimphu 
7/5/20 14:02, INCIndia What the hell Congress is doing than Don xe2 x80 x99t opposition have a role to advice and act Shameless Congress , nidhi bhattarai , ,3,Thimphu 
7/5/20 12:12, FMBhutan Do visit gelephu too la xf0 x9f x98 x9b xf0 x9f x99 x8f , yiwangpindarica , ,6936,Thimphu 
7/5/20 11:15, hudson records FlookQuartet Well this was supremely awesome Thanks hudson records and FlookQuartet loved hearing your voices , davidmhecht , ,490,Thimphu 
7/5/20 9:38, Just discovered our new favourite summer cafe in Thimphu serving luscious scoops of Himalayan ice cream flavours Saffron and Cardamon Raj Bhog with Star Anise Cashew and Butterscotch at the Thijha xe2 x80 xa6 https t co A0KAanSpGX , LovenRamos , ,2127,Bhutan 
7/5/20 9:35, FactsFpl What kind of competition is it , DeependraKoira5 , ,19,Thimphu 
7/5/20 8:25, Bhutan at the time of global pandemic https t co HPRKE1ogzP Bhutan traveltomorrow globalpandemic traveltips tourism WTP thimphu Sangaygang https t co 49fNDTG1iX , worldtourplan09 , Bhutan traveltomorrow globalpandemic traveltips tourism WTP thimphu Sangaygang ,194,Thimphu 
7/5/20 8:20, mrajivranjan This is like Pakistan claiming Punjab Haryana Gujarat and Maharashtra as bonus because some cartographer in Islamabad feels lucky Fictional and not tenable and not raised in official talks of 5 decades Hence official Bhutan rebuttal at GEF saying not a disputed area , TenzingLamsang , ,23656,Thimphu 
7/5/20 7:58, mrajivranjan Interesting but GT is way off Both sides officially accepted sole disputed areas of west 269 sq km and central of 495 sq km since 1984 official talks Indian journalists observers easily impressed with GT but it is not real official media like People xe2 x80 x99s Daily Xinhua or CGTN , TenzingLamsang , ,23656,Thimphu 
7/5/20 7:31, Bhutan Majestic Travel xe2 x80 x99s 15th Annual One Day Kurim at Paro Taktsang xe2 x80 x9cTiger xe2 x80 x99s Nest xe2 x80 x9d was successfully concluded The Special One Day Ceremony are always done on 15th Day Full Moon of The Fifth Bhutanese Month 5th xe2 x80 xa6 https t co OWa0vGnaus , bhutan majestic , ,1130,Thimphu 
7/5/20 7:01, Developing a higher regard for yourself is a healthy endeavor More for Sagittarius https t co FfKav1h4Nc , kintsho bht , ,30,Thimphu 
7/5/20 7:01, Your personal beliefs are being tested When someone challenge More for Taurus https t co EECfQYA8HL , cixx67 , ,1512,Thimphu 
7/5/20 7:00, Your heart is longing for belonging Put all of your energy to More for Pisces https t co uojyhAqXMI , LobzangYeshey1 , ,314,Thimphu 
7/5/20 6:50, ConstantinoX Rezhasan Maybe but in this case minutes were signed by both sides at the highest levels acknowledging only two disputed areas along the entire border Signed docs mean something Also the talks were comprehensive boundary talks of the entire boundary and not restricted to some areas , TenzingLamsang , ,23656,Thimphu 
7/5/20 6:36, If we are to go by territorial claims then Greece Rome Mongolia Spain and Britain should divide the world between the five of them They would have maps treaties proof of tributes evidence of rule and what not , TenzingLamsang , ,23656,Thimphu 
7/5/20 6:27, Virtualphoja1 BidhyaAdhikar16 It s for fun why take it so seriously , zzezenn , ,1923,Thimphu 
7/5/20 6:25, ConstantinoX Rezhasan 24 boundary talks since 1984 clearly narrowed down the total dispute area to two areas in the west and centre accepted and minuted by both sides I am sure a big country like China would have nothing to fear or hide from tiny Bhutan to keep mum for 5 decades in official talks , TenzingLamsang , ,23656,Thimphu 
7/5/20 6:10, When you discover your favourite Prime Minister jacindaardern once tried out albeit unsuccessfully for a part in the Lord of the Rings xf0 x9f x98 xb1 , namgayzam , ,22831,Thimphu 
7/5/20 5:45, Bhutan Today Bhutan Times and the Journalist report on the signing of the Concession Agreement of Kholongchhu Joint Venture hydropower project Please take a look Hydropower https t co PRyHTFZ1xT , Indiainbhutan , Hydropower ,10296,Thimphu 
7/5/20 5:35, ConstantinoX I would go by the official statement of Bhutan and border talks records All independent literature on Border talks by think tanks to strategic experts have never mentioned the eastern sector too , TenzingLamsang , ,23656,Thimphu 
